,index,isin,year,Return_n,Return_n+1,country,new_industry,exchange,fte_category,cap_category,businessClass,Total Revenue,Total Revenue : Annual Variation,Net Income,Net Income : Annual Variation,EBITDA,EBITDA : Annual Variation,Basic EPS,Basic EPS : Annual Variation,Operating Cash Flow,Operating Cash Flow : Annual Variation,Free Cash Flow,Free Cash Flow : Annual Variation,Total Assets,Total Assets : Annual Variation,Long Term Debt,Long Term Debt : Annual Variation,Total Liabilities Net Minority Interest,Total Liabilities Net Minority Interest : Annual Variation,Stockholders Equity,Stockholders Equity : Annual Variation
PLNFI0600010_2021,1,PLNFI0600010,2021,0.43168544839499967,0.5548105987178444,12.0,6.0,33.0,2.0,2.0,2.0,1373913.4455335678,-0.2355286853614613,275568.7072313668,-0.6882845188284519,768910.6713519512,-0.5775971551943104,0.0323654521916034,-0.4814814814814814,-444100.2404290735,-1.5940012368583798,-448492.6946550768,-1.6008052028491793,8707462.548548179,0.1347272015183924,0.0,0.0,1423386.3510264473,0.0258247250916361,6557240.614018865,0.1349231754161331
DE0005545503_2022,3,DE0005545503,2022,-0.3684516893236861,0.7480822300489883,5.0,2.0,9.0,3.0,3.0,6.0,3963691000.0,0.0138201311162942,367328000.0,-0.0072806481776759,632529000.0,-0.1123346843003413,0.0,0.0,182947000.0,-0.5764694170947571,-66444000.0,-1.1684006701152423,7257085000.0,0.0273729318646097,0.0,0.0,1677244000.0,-0.0906925290955035,5579841000.0,0.0690986992070242
DE0005545503_2021,4,DE0005545503,2021,-0.1355410187972619,-0.3684516893236861,5.0,2.0,9.0,3.0,3.0,6.0,3909659000.0,0.0324472877805675,370022000.0,0.6850354974885356,712576000.0,0.5178145801160872,0.0,0.0,431957000.0,-0.0415268754215926,394559000.0,0.620851425684086,7063730000.0,0.055810790996029,0.0,0.0,1844529000.0,0.004329793959088,5219201000.0,0.0752902904140295
FR0010285965_2021,6,FR0010285965,2021,-0.14284868101222511,0.3948106152667139,4.0,2.0,27.0,3.0,2.0,6.0,68897000.0,0.1780084122696029,1044000.0,-1.153619776339023,6211000.0,-4.93849080532657,0.48,-1.1804511278195489,9954000.0,-0.0460948730234786,8954000.0,0.0934179997557699,83895000.0,-0.1192218454399429,15199000.0,-0.0994786112098589,50922000.0,-0.0834938176058746,32973000.0,-0.1692365835222978
PL11BTS00015_2021,9,PL11BTS00015,2021,-0.14480269697947232,0.22208332252266508,12.0,2.0,33.0,2.0,2.0,0.0,16211090.022193454,-0.1949338368240352,6631584.520066581,-0.2322489782775431,9846068.522285927,-0.1845505221011761,2.813482522655817,-0.2455052696838189,9465112.123173663,0.0870211330953755,2788963.3808026635,0.5251039759724134,50747402.44127983,0.1780287673413169,1747734.4183465878,-0.1428571428571428,5126612.030700943,0.0223398096306604,45620790.41057888,0.198539565503947
DE000A3H3L44_2021,11,DE000A3H3L44,2021,-0.09899158060721491,-0.17430811824463813,5.0,6.0,9.0,1.0,2.0,8.0,0.0,-1.0,-1889000.0,-1.0343248596296768,1678000.0,-0.970211783920044,-0.328627,-1.034324799144353,-33022000.0,0.2242159116185957,-33022000.0,0.223943661971831,87402000.0,0.0214690586104131,0.0,0.0,4790000.0,3.5018796992481205,82612000.0,-0.0223547650323664
SE0010468124_2021,13,SE0010468124,2021,-0.2917503893251488,-0.4028417921340395,2.0,9.0,29.0,1.0,1.0,7.0,0.0,2.6674016789150725,-1683288.888888889,1.5870218579234974,-1957511.111111111,1.7648462021343376,-0.1022222222222222,1.129629629629629,-1637866.6666666667,0.5756798358132376,-1640711.111111111,0.5258328511201125,7036444.444444444,0.2556309878814796,0.0,0.0,428088.8888888889,0.1521531100478469,6608355.555555556,0.2629790703995651
DE0005167902_2022,15,DE0005167902,2022,0.21257026698125547,0.5209742833034835,5.0,14.0,9.0,2.0,2.0,4.0,63537000.0,0.0175525696257266,158987000.0,53.50359958861844,9023000.0,-0.0259095325488502,0.0,0.0,16542000.0,-3.122129570237332,5539000.0,-1.3669183889772123,243603000.0,1.0462758406343713,15143000.0,-0.4824852192337924,32431000.0,-0.4303855273557566,210364000.0,2.8076999656089923
DE0005167902_2021,16,DE0005167902,2021,0.42474187224153326,0.21257026698125547,5.0,14.0,9.0,2.0,2.0,4.0,62441000.0,0.0227510974251457,2917000.0,-0.1071319253137434,9263000.0,-0.1996716778987385,0.0,0.0,-7795000.0,-2.63143574717455,-15096000.0,1.6981233243967828,119047000.0,0.3859596018394551,29261000.0,0.9003117287959476,56935000.0,0.6796471664159071,55247000.0,0.0801188684040743
DE000A11QW68_2022,19,DE000A11QW68,2022,0.15204373690165507,0.06619604331987285,5.0,20.0,8.0,2.0,2.0,8.0,85802000.0,0.5262914472747973,23511000.0,1.3842409491937937,73209000.0,0.5000307345558856,0.31,1.214285714285714,61781000.0,0.5368407960199005,36894000.0,0.9426074136478516,550354000.0,0.0835446527012128,179077000.0,-0.1459631920565806,323175000.0,0.0405163060101548,216048000.0,0.1622857511754769
DE000A11QW68_2021,20,DE000A11QW68,2021,-0.3388949848491618,0.15204373690165507,5.0,20.0,8.0,2.0,2.0,8.0,56216000.0,0.1112077485669104,9861000.0,0.8790015243902439,48805000.0,0.1166659039948748,0.14,0.7555299192456238,40200000.0,0.0687225840755017,18992000.0,-0.4059616527478027,507920000.0,0.1077258600948694,209683000.0,0.0113734474858314,310591000.0,0.0467266097342329,185882000.0,0.2362627861503877
IT0005439861_2022,22,IT0005439861,2022,0.22837512109152996,0.17152539162556585,7.0,5.0,21.0,2.0,2.0,4.0,54363207.0,-0.1085555125455866,9553764.0,0.1066068400046053,14385052.0,0.1361617616801706,0.313753,0.1066071308905325,11088051.0,0.3263720255454632,7483342.0,0.8630836746009043,75956764.0,0.2283345646580508,0.0,0.0,22228863.0,0.2579194408236619,53727901.0,0.2164974594406324
IT0005439861_2021,23,IT0005439861,2021,-0.2609413478846305,0.22837512109152996,7.0,5.0,21.0,2.0,2.0,4.0,60983278.0,-0.0635118016815647,8633386.0,0.1477683331939623,12661095.0,0.1059896301037967,0.283527,0.1326943973920547,8359684.0,-0.2095295757273288,4016643.0,-0.5777651795713952,61837195.0,0.452361486248444,0.0,0.0,17671134.0,-0.0149320474942861,44166061.0,0.7925992775387612
NL0010872388_2021,25,NL0010872388,2021,1.1058400321088562,1.0160226846729157,5.0,21.0,8.0,1.0,2.0,3.0,828381.0,0.4550665017881358,-239151.0,-8.147583609791088,-177402.0,0.6413345175974242,-0.111233,-8.147731654029045,11163859.587388732,0.3198181364356726,9208304.0379138,0.4728021601040224,2452060.0,0.0472757402717212,165200.0,0.0535714285714285,599813.0,1.399520746323588,1852247.0,-0.1143498272447425
DK0010244425_2022,27,DK0010244425,2022,-0.06385453996770832,0.08806528359494495,2.0,14.0,4.0,4.0,4.0,3.0,75524779990.73647,0.3195170505122436,27047707271.885136,0.6273548099431502,34235294117.64706,0.5095580426435748,1482.1676702176935,0.7003188097768331,31937007874.01575,0.5655253837072018,28080592867.06809,0.5915677832615772,86780917091.24596,0.296232236996859,3496062992.1259847,-0.1253765932792584,26538212135.247803,0.0736423940336543,59278369615.56277,0.4377415296126539
DK0010244425_2021,28,DK0010244425,2021,0.4485461488128777,-0.06385453996770832,2.0,14.0,4.0,4.0,4.0,3.0,57236683649.83789,0.5547810770005033,16620657711.90366,5.295438596491228,22679018063.918484,1.8205069124423965,871.6998610467809,5.489655172413793,20400185270.95878,1.813234542667348,17643353404.35387,1.927451583154012,66948587308.93933,0.2878628579574817,3997220935.6183424,-0.264655760054533,24717924965.261696,0.0562086846376123,41230199166.280685,0.4910552763819095
DK0010244508_2022,30,DK0010244508,2022,-0.10884418376120561,0.08763180940996404,2.0,14.0,4.0,4.0,4.0,3.0,75524779990.73647,0.3195170505122436,27047707271.885136,0.6273548099431502,34235294117.64706,0.5095580426435748,1482.1676702176935,0.7003188097768331,31937007874.01575,0.5655253837072018,28080592867.06809,0.5915677832615772,86780917091.24596,0.296232236996859,3496062992.1259847,-0.1253765932792584,26538212135.247803,0.0736423940336543,59278369615.56277,0.4377415296126539
DK0010244508_2021,31,DK0010244508,2021,0.44903502511255067,-0.10884418376120561,2.0,14.0,4.0,4.0,4.0,3.0,57236683649.83789,0.5547810770005033,16620657711.90366,5.295438596491228,22679018063.918484,1.8205069124423965,871.6998610467809,5.489655172413793,20400185270.95878,1.813234542667348,17643353404.35387,1.927451583154012,66948587308.93933,0.2878628579574817,3997220935.6183424,-0.264655760054533,24717924965.261696,0.0562086846376123,41230199166.280685,0.4910552763819095
FR0000076887_2021,33,FR0000076887,2021,-0.08102354284857471,-0.32681198433895176,4.0,3.0,27.0,3.0,2.0,5.0,159851000.0,-0.0908672111381577,99000.0,-0.9818115010104722,5926000.0,-0.5439433584731415,0.01,-0.9761904761904762,4251000.0,-0.8080812641083521,2142000.0,-0.8991335468073084,127698000.0,-0.1476173629791807,10450000.0,-0.1980661499501189,90011000.0,-0.1753005204133988,37700000.0,-0.0729584183736198
IT0001233417_2022,35,IT0001233417,2022,-0.08236000603807861,0.7530365032148267,7.0,21.0,21.0,4.0,3.0,4.0,22938000000.0,1.02061310782241,401000000.0,-0.2043650793650793,1567000000.0,0.1835347432024169,0.1281,-0.2184258694325808,1260000000.0,0.1101321585903083,20000000.0,-0.6721311475409836,21367000000.0,0.1865282096845846,5735000000.0,0.3548310890621309,16900000000.0,0.2331265961327982,3899000000.0,0.0369680851063829
IT0001233417_2021,36,IT0001233417,2021,0.06729235757787189,-0.08236000603807861,7.0,21.0,21.0,4.0,3.0,4.0,11352000000.0,0.7057851239669422,504000000.0,0.3846153846153846,1324000000.0,0.1981900452488687,0.1639,0.4008547008547007,1135000000.0,0.9011725293132328,61000000.0,-1.4326241134751774,18008000000.0,0.4729265499754621,4233000000.0,0.1081151832460733,13705000000.0,0.6898890258939581,3760000000.0,0.0630477806050325
