isin,year,Return_n,Return_n+1,country,new_industry,exchange,fte_category,cap_category,businessClass,Total Revenue,Total Revenue : Annual Variation,Net Income,Net Income : Annual Variation,EBITDA,EBITDA : Annual Variation,Basic EPS,Basic EPS : Annual Variation,Operating Cash Flow,Operating Cash Flow : Annual Variation,Free Cash Flow,Free Cash Flow : Annual Variation,Total Assets,Total Assets : Annual Variation,Long Term Debt,Long Term Debt : Annual Variation,Total Liabilities Net Minority Interest,Total Liabilities Net Minority Interest : Annual Variation,Stockholders Equity,Stockholders Equity : Annual Variation
PLNFI0600010,2022,0.4054545489224521,,12.0,6.0,33.0,2.0,2.0,2.0,1452746.439800259,0.0573784284031633,-135241.35380062883,-1.4907718120805369,-125531.71814314778,-1.1632591701743835,-0.011559090068429815,-1.357142857142857,-311864.2500462364,-0.2977615825091098,-419363.7876826337,-0.0649484536082474,7728869.983354911,-0.1123855037833532,0.0,0.0,1210930.2755687074,-0.1492610037355855,5802432.032550398,-0.1151107037089268
PLNFI0600010,2021,0.7354839612740536,0.4054545489224521,12.0,6.0,33.0,2.0,2.0,2.0,1373913.4455335678,-0.2355286853614613,275568.7072313668,-0.6882845188284519,768910.6713519512,-0.5775971551943104,0.032365452191603486,-0.4814814814814814,-444100.24042907346,-1.5940012368583798,-448492.6946550768,-1.6008052028491793,8707462.548548179,0.1347272015183924,0.0,0.0,1423386.3510264473,0.0258247250916361,6557240.614018865,0.1349231754161331
DE0005545503,2023,0.5659477423425172,,5.0,2.0,9.0,3.0,3.0,6.0,4096701000.0,0.033557106242641,314950000.0,-0.1425919069605366,562213000.0,-0.1111664445424636,0.0,0.0,225582000.0,0.2330456361678519,-70145000.0,0.0557010414785383,7740306000.0,0.0665861017199054,0.0,0.0,1853232000.0,0.1049268919727839,5887074000.0,0.0550612463688481
DE0005545503,2022,-0.5178077391190785,0.5659477423425172,5.0,2.0,9.0,3.0,3.0,6.0,3963691000.0,0.0138201311162942,367328000.0,-0.0072806481776759,632529000.0,-0.1123346843003413,0.0,0.0,182947000.0,-0.5764694170947571,-66444000.0,-1.1684006701152423,7257085000.0,0.0273729318646097,0.0,0.0,1677244000.0,-0.0906925290955035,5579841000.0,0.0690986992070242
DE0005545503,2021,0.168257494081792,-0.5178077391190785,5.0,2.0,9.0,3.0,3.0,6.0,3909659000.0,0.0324472877805675,370022000.0,0.6850354974885356,712576000.0,0.5178145801160872,0.0,0.0,431957000.0,-0.0415268754215926,394559000.0,0.620851425684086,7063730000.0,0.055810790996029,0.0,0.0,1844529000.0,0.004329793959088,5219201000.0,0.0752902904140295
FR0010285965,2022,0.2454545654713215,,4.0,2.0,27.0,3.0,2.0,6.0,76919000.0,0.1164346778524464,2220000.0,1.1264367816091954,6903000.0,0.1114152310417002,1.03,1.1458333333333337,-1299000.0,-1.1305003013863772,-2352000.0,-1.2626758990395357,80995000.0,-0.0345670182966803,13644000.0,-0.1023093624580564,45921000.0,-0.0982090255685165,35074000.0,0.0637188002304916
FR0010285965,2021,0.1609498318668288,0.2454545654713215,4.0,2.0,27.0,3.0,2.0,6.0,68897000.0,0.1780084122696029,1044000.0,-1.153619776339023,6211000.0,-4.93849080532657,0.48,-1.1804511278195489,9954000.0,-0.0460948730234786,8954000.0,0.0934179997557699,83895000.0,-0.1192218454399429,15199000.0,-0.0994786112098589,50922000.0,-0.0834938176058746,32973000.0,-0.1692365835222978
DE0005118806,2021,0.0129032908071484,,5.0,2.0,9.0,3.0,2.0,6.0,56528000.0,0.1127120979488996,1041000.0,-1.4502595155709344,5834000.0,0.9305095962938452,0.04,-1.4,4239000.0,0.7168894289185905,94000.0,-1.0471177944862156,28969000.0,-0.0769794487812649,469000.0,-0.2850609756097561,18113000.0,-0.1627143715619655,10856000.0,0.1132075471698113
PL11BTS00015,2022,0.0727272727272727,,12.0,2.0,33.0,2.0,2.0,0.0,17155059.876086555,0.0582298816798117,5291708.8958757175,-0.2020445671975559,8206392.4079896435,-0.1665310484672114,2.2332162012206402,-0.2062448644207066,7613177.13149621,-0.195659065373702,-2947098.899574626,-2.0567004643590736,56454004.29998151,0.1124511124545701,1480719.4377658593,-0.1527777777777778,4543591.871647865,-0.1137242599131038,51910412.42833365,0.1378674494928584
PL11BTS00015,2021,0.1589958158995816,0.0727272727272727,12.0,2.0,33.0,2.0,2.0,0.0,16211090.022193454,-0.1949338368240352,6631584.520066581,-0.2322489782775431,9846068.522285927,-0.1845505221011761,2.813482522655817,-0.2455052696838189,9465112.123173665,0.0870211330953755,2788963.3808026635,0.5251039759724134,50747402.44127983,0.1780287673413169,1747734.4183465878,-0.1428571428571428,5126612.030700943,0.0223398096306604,45620790.410578884,0.198539565503947
DE000A3H3L44,2022,-0.3236641680400305,,5.0,6.0,9.0,1.0,2.0,8.0,0.0,0.30494070068688506,-21035000.0,10.1355214399153,3558000.0,1.1203814064362336,-3.659436,10.13553055591902,15859000.0,-1.4802555871843013,15859000.0,-1.4802555871843013,61974000.0,-0.2909315576302602,0.0,0.0,397000.0,-0.9171189979123172,61577000.0,-0.2546240255652932
DE000A3H3L44,2021,0.204806932271839,-0.3236641680400305,5.0,6.0,9.0,1.0,2.0,8.0,0.0,-1.0,-1889000.0,-1.0343248596296768,1678000.0,-0.970211783920044,-0.328627,-1.034324799144353,-33022000.0,0.2242159116185957,-33022000.0,0.223943661971831,87402000.0,0.0214690586104131,0.0,0.0,4790000.0,3.5018796992481205,82612000.0,-0.0223547650323664
