isin,Return_n,Total Revenue,Total Revenue : Annual Variation,Net Income,Net Income : Annual Variation,EBITDA,EBITDA : Annual Variation,Basic EPS,Basic EPS : Annual Variation,Operating Cash Flow,Operating Cash Flow : Annual Variation,Free Cash Flow,Free Cash Flow : Annual Variation,Total Assets,Total Assets : Annual Variation,Long Term Debt,Long Term Debt : Annual Variation,Total Liabilities Net Minority Interest,Total Liabilities Net Minority Interest : Annual Variation,Stockholders Equity,Stockholders Equity : Annual Variation,country_0.0,country_1.0,country_2.0,country_3.0,country_4.0,country_5.0,country_6.0,country_7.0,country_8.0,country_9.0,country_10.0,country_11.0,country_12.0,country_13.0,country_14.0,country_15.0,exchange_0.0,exchange_1.0,exchange_2.0,exchange_3.0,exchange_4.0,exchange_6.0,exchange_7.0,exchange_8.0,exchange_9.0,exchange_10.0,exchange_11.0,exchange_12.0,exchange_13.0,exchange_14.0,exchange_15.0,exchange_16.0,exchange_17.0,exchange_18.0,exchange_19.0,exchange_20.0,exchange_21.0,exchange_22.0,exchange_23.0,exchange_24.0,exchange_25.0,exchange_26.0,exchange_27.0,exchange_28.0,exchange_29.0,exchange_30.0,exchange_31.0,exchange_32.0,exchange_33.0,businessClass_0.0,businessClass_1.0,businessClass_2.0,businessClass_3.0,businessClass_4.0,businessClass_5.0,businessClass_6.0,businessClass_7.0,businessClass_8.0,businessClass_9.0,new_industry_0.0,new_industry_1.0,new_industry_2.0,new_industry_3.0,new_industry_4.0,new_industry_5.0,new_industry_6.0,new_industry_7.0,new_industry_8.0,new_industry_9.0,new_industry_10.0,new_industry_11.0,new_industry_12.0,new_industry_13.0,new_industry_14.0,new_industry_15.0,new_industry_16.0,new_industry_17.0,new_industry_18.0,new_industry_19.0,new_industry_20.0,new_industry_21.0,fte_category_1.0,fte_category_2.0,fte_category_3.0,fte_category_4.0,cap_category_1.0,cap_category_2.0,cap_category_3.0,cap_category_4.0
DE0008303504,2.5055557609111436,-0.1497694910749365,-0.031063228168326837,-0.4162461323853646,-0.08901084780344615,-0.30734129768916485,-0.1744500334625168,0.01705226420904474,-0.16013312070927976,-0.07445227896002923,0.1554843357704695,-0.014979364148510666,-0.005265966218592775,-0.07747896237069161,-0.03953091185597894,0.22324702516435566,-0.01376349758348529,-0.08742298326226003,-0.044912982013210534,0.0748678746321391,-0.040528952646227835,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
DE0007446007,0.23601742858574726,-0.1548735263919106,-0.05661219883291548,-0.1732416040685073,-0.030027855160997215,-0.16697267061696178,-0.030750899884868774,0.01712281129076159,-0.04240440717731909,-0.12382020367001628,0.05085102418036506,-0.07787904391396169,-0.018865320021740357,-0.1368646167356938,-0.039526165208270875,-0.13582472586687436,-0.018528644793469922,-0.12718084793118836,-0.045496692764153884,-0.20127056359931167,-0.040520550889511654,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
DE000TLX1005,1.255725563279376,1.0837095387573552,-0.040418817517104695,0.7241473647589072,-0.0025917043211842517,0.6745670625658524,-0.01719226737889565,0.017112656786575076,-0.023537560647238397,2.0022327955714276,0.06406372006035387,2.514175247938045,-0.017739093680669307,1.451732628070087,-0.03943696822395608,0.9417319287061063,-0.013792869649843095,1.3964856651492474,-0.03979733880832433,1.0060233721887046,-0.04037029897077587,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
FI4000153580,-0.4101954352173072,-0.21845379723747624,-0.042076415255030565,-0.18546070091886985,-0.031972405299748465,-0.1893958431641983,-0.029489862879692113,0.01711452735313575,-0.04772582542939312,-0.14452914029174924,0.026208333962075808,-0.10358436869313326,-0.02607475105969934,-0.1447079888451976,-0.039408122073227025,-0.12966252899067285,-0.004293366642525441,-0.12962657192135504,-0.03579373857925537,-0.2735355984460328,-0.040480301723931855,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
ES0105065009,0.8909604482582587,-0.18830546088399333,-0.031214910682191586,-0.17950365337213528,0.1065850038131576,-0.1760669499979152,0.013986011034557,0.017115596248313276,0.3030040139118504,-0.18295483260865864,0.42668514741062774,-0.15325283322613065,0.004495325433501349,-0.1358365404220233,-0.039481514094682146,-0.09650216337717854,-0.006908902676190214,-0.12254214488665491,-0.04226910777810408,-0.24617647970303305,-0.04048420056899387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
FR0004188670,-0.21043789914505315,-0.03416590262048706,-0.05256638118130056,-0.17563664621999156,-0.04769566861562267,-0.1342954267365912,-0.006440581049393614,0.017120940724200916,-0.0808814469112735,-0.07802889725336672,-1.7411976505057154,-0.047095800290469295,-0.05895174987890705,-0.12293134833427659,-0.039497428577334515,-0.06454144462841374,-0.016302535039072686,-0.11462169226811743,-0.04279671123509366,-0.1741765628576427,-0.04050605939671281,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
SK1120010287,-0.01794960248686038,-0.21466436101598826,-0.029237119924676105,-0.187685080461582,-0.03559597308897686,-0.18021283653007258,0.006973366690344214,0.017110679330496648,-0.05476526730519139,-0.13579957286561914,0.11898179655702243,-0.09464158399797576,0.02003350625486766,-0.14089591626190728,-0.03946825834741867,-0.10442614661526022,-0.015392304567734156,-0.12534282308374775,-0.041175598750892016,-0.2763946368830502,-0.04049457328559902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
DK0060915478,-0.5588990872203689,-0.2168990481362408,-0.054299051359419426,-0.18573403696141608,-0.03166424542756295,-0.1936110555671289,-0.03804961156562726,0.01712054266648977,-0.046946010715373854,-0.14925830577254273,0.03509326666487374,-0.10556838934957498,-0.023645274927001376,-0.14484571087615386,-0.0393486601342386,-0.13568611022601215,0.10545154132869027,-0.12992518821280538,-0.03502766588806381,-0.2716598633332371,-0.04034444248340447,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
IT0005482333,0.7509661182156145,-0.2021053969472483,-0.06661434139212495,-0.13147250713440098,-0.026395343763740007,-0.16255584907958184,-0.04657293910494267,0.017116932367285186,-0.03529305733136559,-0.1357141428133711,-0.058068576045918766,-0.10790291506822813,-0.03702498190116966,-0.13760471881707798,-0.039435683349329086,-0.13849928701713565,-0.012853273310122773,-0.1297143543573659,-0.04572968856161834,-0.17995522405896727,-0.040422302666386065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
DE000A0XYGA7,-0.09847253485898154,-0.21047205094316326,-0.04712281504930298,-0.1824792943311652,-0.0218497744951369,-0.19085376924980602,-0.022597986539214118,0.017112656786575076,-0.023537560647238397,-0.14748619110336267,-1.9916085182717609,-0.10309701024273449,-0.08121214848451906,-0.14475620159761438,-0.0394475740645068,-0.13479727711669934,-0.0010561074986197602,-0.1300743744758593,-0.04007838117970165,-0.268656959293815,-0.04045359648129911,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
